PIT,BENCH,PRIORITY,TOTAL,WASTE,ORE ,GRADE1 ,GRADE2 ,GRADE3 ,GRADE4 ,FLAG1 ,FLAG2 ,FLAG3 ,FLAG4
 14 ,  468 ,  6.68563032455686 ,  2.602564 ,  2.349187 ,  0.253377 ,  58.4 ,  5.62 ,  2 ,  41.6 ,  0 ,  1 ,  0 ,  1 
 14 ,  456 ,  8.96875750126976 ,  2.014159 ,  1.742855 ,  0.271304 ,  59.16 ,  4.88 ,  1.77 ,  40.84 ,  0 ,  1 ,  0 ,  1 
 14 ,  444 ,  12.9719319225931 ,  1.557433 ,  1.2438 ,  0.313633 ,  59.45 ,  4.93 ,  1.58 ,  40.55 ,  0 ,  1 ,  0 ,  1 
 14 ,  432 ,  18.1305505112093 ,  1.158723 ,  0.825229 ,  0.333494 ,  59.52 ,  5.06 ,  1.51 ,  40.48 ,  0 ,  1 ,  0 ,  1 
 14 ,  420 ,  24.5649853431922 ,  0.798605 ,  0.482211 ,  0.316394 ,  59.48 ,  5.11 ,  1.41 ,  40.52 ,  0 ,  1 ,  0 ,  1 
 14 ,  408 ,  33.2862230023045 ,  0.298544 ,  0.137816 ,  0.160728 ,  59.97 ,  4.56 ,  1.33 ,  40.03 ,  0 ,  1 ,  0 ,  1 
 15 ,  576 ,  1 ,  0.088616 ,  0.088616 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 15 ,  564 ,  1 ,  0.018446 ,  0.018446 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 15 ,  552 ,  1 ,  0.003292 ,  0.003292 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 16 ,  576 ,  1.2909919924025 ,  0.046331 ,  0.046096 ,  0.000235 ,  57.37 ,  7.44 ,  2.38 ,  42.63 ,  0 ,  1 ,  0 ,  1 
